frequency,amb,flag,channel
38.7,1.35e-20,Measured,H1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
38.8,8.290000000000001e-21,Measured,H1:PEM-CS_ACC_HAM5_SRM_X
38.9,1.01e-20,Measured,H1:PEM-CS_ACC_HAM5_SRM_X
39.0,1.64e-20,Measured,H1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
39.1,1.17e-20,Measured,H1:PEM-CS_ACC_BSC1_ITMY_Y
39.2,1.06e-20,Measured,H1:PEM-CS_ACC_BSC2_BS_X
39.3,1.67e-20,Upper Limit,H1:PEM-CS_ACC_BSC1_ITMY_Z
39.4,1.38e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_Z
39.5,1.43e-20,Upper Limit,H1:PEM-CS_ACC_HAM2_PRM_Z
39.6,1.57e-20,Upper Limit,H1:PEM-CS_ACC_BSC1_ITMY_Z
39.7,4.74e-21,Measured,H1:PEM-CS_ACC_BSC3_ITMX_Y
39.8,1.6100000000000002e-20,Upper Limit,H1:PEM-CS_ACC_BSC2_BS_X
39.9,2.11e-20,Upper Limit,H1:PEM-CS_ACC_HAM2_PRM_Y
40.0,1.5200000000000002e-20,Upper Limit,H1:PEM-CS_ACC_HAM2_PRM_Z
40.1,1.58e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_X
40.2,1.85e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_X
40.3,2.4900000000000002e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_Z
40.4,2.0699999999999998e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_Z
40.5,2.08e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_Z
40.6,1.73e-20,Upper Limit,H1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
40.7,1.72e-20,Upper Limit,H1:PEM-CS_ACC_HAM6VAC_SEPTUM_Y
40.8,1.4999999999999998e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_Z
40.9,1.67e-20,Upper Limit,H1:PEM-CS_ACC_BEAMTUBE_SRTUBE_X
41.0,1.38e-20,Upper Limit,H1:PEM-CS_ACC_BEAMTUBE_SRTUBE_X
41.1,1.6100000000000002e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_Z
41.2,2.06e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_Z
41.3,9.89e-21,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_Y
41.4,1.73e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_X
41.5,1.3999999999999998e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_Y
41.6,1.3999999999999998e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_Z
41.7,1.57e-20,Upper Limit,H1:PEM-CS_ACC_BSC2_BS_Y
41.8,1.56e-20,Upper Limit,H1:PEM-CS_ACC_BSC2_BS_X
41.9,1.25e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_Y
42.0,1.0500000000000001e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_Y
42.1,1.1100000000000001e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_X
42.2,1.3400000000000001e-20,Upper Limit,H1:PEM-CS_ACC_BEAMTUBE_YMAN_X
42.3,1.57e-20,Upper Limit,H1:PEM-CS_ACC_BEAMTUBE_YMAN_X
42.4,1.27e-20,Upper Limit,H1:PEM-CS_ACC_HAM2_PRM_Y
42.5,1.7e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_Z
42.6,1.95e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_X
42.7,2.5299999999999997e-20,Upper Limit,H1:PEM-CS_ACC_HAM5_SRM_X
42.8,9.220000000000001e-21,Measured,H1:PEM-CS_MIC_LVEA_BS
42.9,2.7799999999999996e-20,Upper Limit,H1:PEM-CS_ACC_BSC2_BS_X
43.0,1.57e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_X
43.1,1.43e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_X
43.2,1.2400000000000001e-20,Upper Limit,H1:PEM-CS_ACC_BSC3_ITMX_Z
43.3,1.58e-20,Upper Limit,H1:PEM-CS_ACC_HAM6_OMC_Z
